Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,218016"
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"1,466824"
BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,30.04.2026,"4,537167"
BRH,İSTANBUL PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"5,702197"
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,30.04.2026,"1,469576"
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,267625"
BRZ,TEB PORTFÖY BURGAZ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"50,949906"
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,30.04.2026,"1,167698"
BSA,İŞ PORTFÖY BAŞAK SERBEST ÖZEL FON,30.04.2026,"0,416521"
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,30.04.2026,"1,109788"
BSE,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,609536"
BSF,İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,30.04.2026,"1,316854"
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,03985"
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,30.04.2026,"1,47043"
BSN,BULLS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,485034"
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"10,140313"
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,30.04.2026,"4,079021"
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,252239"
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,30.04.2026,"1,327704"
BTP,TRİVE PORTFÖY PARA PİYASASI SERBEST FON,30.04.2026,"0,512737"
BTY,İŞ PORTFÖY BTY SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,728409"
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,248444"
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,30.04.2026,"1,03137"
BUC,BULLS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,972669"
BUP,AZİMUT PORTFÖY BUPA SERBEST (TL) ÖZEL FON,30.04.2026,"3,754833"
BUT,AZİMUT PORTFÖY BULUT HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,713665"
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,30.04.2026,"1,338735"
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,806476"
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,518992"
BVB,AK PORTFÖY ÖPY YEDİNCİ SERBEST (TL) ÖZEL FON,30.04.2026,"4,06793"
BVC,AK PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON,30.04.2026,"3,867062"
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"1,203683"
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,30.04.2026,"1,24777"
BVH,BV PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,818272"
BVI,BV PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,921254"
BVK,BULLS PORTFÖY VOLTRAN KATILIM SERBEST (TL) FON,30.04.2026,"1,120381"
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,260284"
BVT,AZİMUT PORTFÖY GÜNEY SERBEST ÖZEL FON,30.04.2026,"5,091053"
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,30.04.2026,"2,835661"
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,30.04.2026,"3,983516"
BYZ,A1 CAPİTAL PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,199582"
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,337241"
CBD,A1 CAPİTAL PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"2,196133"
CBN,QNB PORTFÖY CBN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"48,576792"
CBO,AZİMUT PORTFÖY HCBO HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"267,832675"
CEY,ROTA PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,949871"
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,30.04.2026,"2,229334"
CGD,DENİZ PORTFÖY ÇAĞDAŞ SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"54,06551"
CHY,A1 CAPİTAL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,604599"
CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,30.04.2026,"1,574963"
CJD,AK PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"47,842721"
CJF,AK PORTFÖY ADOC SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"60,909348"
CJG,AK PORTFÖY SDSD SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"61,215805"
CJH,AK PORTFÖY DOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"58,337664"
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,30.04.2026,"1,847184"
CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,30.04.2026,"1,401199"
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,30.04.2026,"56,93504"
COT,AK PORTFÖY 2030 SERBEST (DÖVİZ-AVRO) FON,30.04.2026,"55,60714"
CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,30.04.2026,"3,36354"
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,30.04.2026,"3,160449"
