Dışa Aktarım Tarihi:,04.05.2026 11:10:45
Toplam Kayıt Sayısı:,1997

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
BPD,BULLS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,04.05.2026,"49,88416",2748429.00,11,"137103071,72"
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,04.05.2026,"1,394739",268641020.00,418,"374684190,85"
BRB,BULLS PORTFÖY ARENA SERBEST FON,04.05.2026,"1,294604",659840963.00,11,"854233039,27"
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,217813",101353188.00,38,"123429205,29"
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,04.05.2026,"1,471086",79264501.00,1147,"116604883,85"
BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,04.05.2026,"4,554954",392644011.00,1611,"1788475266,97"
BRH,İSTANBUL PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"5,770997",806220764.00,15,"4652697783,53"
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,04.05.2026,"1,474546",217546221.00,268,"320781997,52"
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,263629",28741657.00,493,"36318780,90"
BRZ,TEB PORTFÖY BURGAZ SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"50,910857",31317628.00,5,"1594407271,07"
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,04.05.2026,"1,168063",8498826.00,141,"9927167,10"
BSA,İŞ PORTFÖY BAŞAK SERBEST ÖZEL FON,04.05.2026,"0,418017",2039522977.00,1,"852555873,78"
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,04.05.2026,"1,108764",255766771.00,95,"283585080,08"
BSE,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,71023",699710404.00,66,"496955224,93"
BSF,İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,04.05.2026,"1,327842",5653503590.00,1,"7506957810,70"
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,048505",7750951.00,160,"8126913,37"
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,04.05.2026,"1,476993",1092034373.00,2226,"1612927645,88"
BSN,BULLS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,572214",639366.00,14,"1005220,10"
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"10,129607",5839910.00,689,"59155990,86"
